Population, Threads, Time, Evaluations
256, 4, 3.743988, 28906
256, 4, 3.158525, 23813
256, 4, 3.226031, 24452
256, 2, 5.26813, 25005
256, 4, 4.746677, 36383
256, 4, 4.028779, 30229
256, 6, 3.776715, 39121
256, 4, 5.108491, 38118
256, 2, 8.181964, 39302
256, 4, 5.050514, 39845
256, 2, 11.723735, 58416
256, 2, 12.29304, 60149
256, 8, 3.752293, 49036
256, 8, 2.405871, 34479
256, 4, 3.892033, 29154
256, 6, 2.893891, 32543
256, 2, 7.868745, 37186
256, 2, 5.659268, 27299
256, 6, 2.705328, 27760
256, 4, 5.262056, 39579
256, 4, 4.11021, 31181
256, 6, 4.386042, 39367
256, 2, 15.081058, 75814
256, 2, 8.308709, 43191
256, 2, 8.763656, 43074
256, 2, 8.218047, 40506
256, 2, 10.379819, 51113
256, 4, 4.492187, 33878
256, 8, 2.659326, 36500
256, 4, 4.78507, 36335
256, 8, 2.109573, 34548
256, 8, 3.014787, 39598
256, 4, 4.542564, 34601
256, 6, 2.884534, 29382
256, 2, 12.014269, 61804
256, 6, 3.319436, 37187
256, 2, 7.670649, 37235
256, 6, 2.683794, 28710
256, 6, 3.814187, 40080
256, 6, 2.755979, 28452
256, 2, 12.673247, 62919
256, 6, 3.701613, 39577
256, 6, 3.523656, 36713
256, 6, 3.349988, 35716
256, 8, 2.743508, 36059
256, 2, 10.082416, 47531
256, 4, 4.550642, 36918
256, 8, 2.783586, 36325
256, 8, 2.359739, 31896
