Population, Threads, Time, Evaluations
512, 2 ,19.59608, 74333
256, 4 ,9.37568, 41883
256, 4 ,6.496914, 34261
256, 4 ,8.00729, 30958
256, 2 ,11.991713, 46226
512, 2 ,26.802009, 85170
256, 4 ,7.360975, 31204
256, 4 ,6.629044, 30715
256, 6 ,5.994935, 23727
512, 4 ,12.693292, 53857
256, 6 ,9.099733, 29721
512, 6 ,16.843484, 66989
256, 4 ,7.041539, 26254
512, 6 ,17.821537, 68989
256, 2 ,8.292766, 31986
256, 4 ,13.03894, 55020
256, 2 ,14.932575, 55454
512, 6 ,10.920488, 47131
512, 2 ,27.503293, 96625
512, 4 ,13.337394, 49339
512, 4 ,12.632047, 44863
512, 6 ,18.062767, 71204
512, 6 ,13.497809, 52749
256, 4 ,9.64364, 41853
512, 2 ,25.019589, 107197
512, 6 ,14.573842, 62113
256, 6 ,9.198379, 38556
256, 2 ,11.804929, 41309
512, 4 ,17.492835, 69009
512, 6 ,15.933069, 64255
256, 2 ,17.015312, 54219
512, 6 ,16.701994, 66647
256, 6 ,6.983594, 30115
256, 6 ,6.12282, 23191
512, 4 ,13.282378, 52273
256, 4 ,9.982271, 33452
256, 4 ,8.379761, 31387
512, 4 ,21.871404, 78269
256, 6 ,12.631324, 37235
256, 2 ,18.923559, 77201
256, 2 ,10.434432, 35900
512, 4 ,14.859982, 57365
256, 2 ,14.248649, 51568
512, 4 ,15.580955, 62040
256, 2 ,10.723344, 39984
256, 2 ,11.490576, 38122
256, 4 ,11.358015, 39792
256, 4 ,11.713392, 49452
256, 4 ,6.354011, 25888
512, 2 ,27.425086, 107214
256, 6 ,6.619134, 31206
256, 2 ,10.341193, 38753
512, 4 ,13.131246, 61271
512, 4 ,17.967693, 70973
512, 2 ,29.440268, 95798
256, 2 ,12.09431, 42908
512, 6 ,15.565209, 66905
512, 4 ,17.537125, 75908
256, 6 ,9.636688, 39591
256, 6 ,7.42638, 32003
512, 2 ,25.90431, 93771
256, 2 ,15.143858, 51942
512, 4 ,24.909573, 106589
512, 6 ,10.897703, 44398
256, 6 ,5.324418, 29195
512, 2 ,27.039372, 78643
512, 2 ,14.00545, 55344
512, 6 ,13.335472, 59160
512, 2 ,19.398897, 70055
256, 6 ,7.735918, 34489
512, 6 ,14.061181, 55118
512, 6 ,12.39528, 55810
512, 2 ,17.375933, 59933
256, 2 ,14.597076, 45660
256, 4 ,9.858611, 36755
512, 2 ,20.450937, 69552
512, 4 ,16.002255, 58296
512, 2 ,43.330056, 146335
512, 6 ,11.596455, 48986
512, 2 ,16.329002, 57611
512, 4 ,20.343185, 77898
512, 2 ,22.160104, 80617
256, 6 ,7.780411, 35117
