Type, Threads, Time, Evaluations
gen64-costart-i2, 6, 23.412316, 227298
gen32-costart-i2, 10, 12.221404, 146026
gen64-costart-i2, 10, 10.641387, 141844
gen64-costart-i2, 4, 30.670057, 220945
gen32-costart-i2, 8, 12.848407, 160169
gen32-costart-i2, 10, 12.959674, 168158
gen32-costart-i2, 4, 50.580278, 372432
gen64-costart-i2, 8, 8.566525, 100213
gen64-costart-i2, 10, 12.469247, 164897
gen64-costart-i2, 8, 14.845207, 182651
gen64-costart-i2, 8, 13.584072, 170786
gen64-costart-i2, 4, 31.689229, 242982
gen32-costart-i2, 10, 12.367292, 158926
gen64-costart-i2, 4, 33.317574, 238481
gen32-costart-i2, 4, 26.619617, 199808
gen64-costart-i2, 10, 9.603149, 120365
gen64-costart-i2, 8, 12.595251, 144738
gen32-costart-i2, 4, 46.250381, 265387
gen64-costart-i2, 6, 16.865884, 161090
gen64-costart-i2, 2, 146.715894, 416916
gen32-costart-i2, 4, 25.563919, 184478
gen32-costart-i2, 8, 15.427534, 171239
gen32-costart-i2, 8, 17.754446, 192468
gen32-costart-i2, 2, 177.109894, 682350
gen32-costart-i2, 4, 37.726744, 285163
gen32-costart-i2, 6, 28.421558, 255860
gen64-costart-i2, 6, 18.035686, 191741
gen64-costart-i2, 10, 13.394857, 175687
gen64-costart-i2, 6, 17.336117, 178158
gen32-costart-i2, 8, 19.546204, 227929
gen32-costart-i2, 2, 125.384769, 489865
gen64-costart-i2, 8, 16.335961, 201602
gen32-costart-i2, 4, 29.034535, 198429
gen32-costart-i2, 2, 308.200419, 1164852
gen32-costart-i2, 10, 14.064593, 199664
gen32-costart-i2, 8, 13.911865, 161213
gen64-costart-i2, 4, 17.179405, 131700
gen64-costart-i2, 2, 125.890221, 436129
gen32-costart-i2, 8, 18.403511, 215375
gen64-costart-i2, 2, 195.146445, 699450
gen32-costart-i2, 8, 17.056502, 195446
gen32-costart-i2, 2, 72.968458, 279451
gen32-costart-i2, 4, 37.129551, 250582
gen64-costart-i2, 10, 14.288888, 188097
gen32-costart-i2, 8, 18.107057, 202494
gen32-costart-i2, 2, 326.645774, 1266738
gen32-costart-i2, 6, 23.314807, 221236
gen32-costart-i2, 6, 22.002908, 231417
gen32-costart-i2, 4, 39.240546, 256065
gen32-costart-i2, 6, 31.007, 288438
gen64-costart-i2, 6, 20.850697, 216809
gen64-costart-i2, 4, 23.783402, 179353
gen32-costart-i2, 8, 11.590752, 143092
gen32-costart-i2, 10, 13.287146, 165678
gen64-costart-i2, 4, 37.42539, 255127
gen32-costart-i2, 10, 13.721551, 167576
gen64-costart-i2, 2, 122.378229, 506475
gen64-costart-i2, 6, 19.448042, 183062
gen32-costart-i2, 4, 31.296599, 236798
gen64-costart-i2, 8, 13.935633, 158637
gen64-costart-i2, 4, 41.272496, 319020
gen32-costart-i2, 4, 37.750541, 265948
gen64-costart-i2, 6, 18.120555, 180465
gen64-costart-i2, 2, 194.342129, 710527
gen64-costart-i2, 10, 14.2475, 173619
gen64-costart-i2, 2, 156.270634, 623184
gen32-costart-i2, 6, 18.872735, 200805
gen32-costart-i2, 8, 16.440311, 200806
gen32-costart-i2, 6, 19.238946, 191041
gen64-costart-i2, 6, 19.034161, 187043
gen64-costart-i2, 8, 13.124898, 144516
gen64-costart-i2, 6, 16.407893, 161008
gen32-costart-i2, 2, 125.146092, 515144
gen64-costart-i2, 2, 134.653903, 522734
gen64-costart-i2, 10, 14.253664, 172654
gen32-costart-i2, 6, 27.360377, 283332
gen64-costart-i2, 8, 14.067029, 180599
gen32-costart-i2, 10, 11.681097, 146138
gen64-costart-i2, 2, 42.998176, 177363
gen64-costart-i2, 10, 14.99586, 174155
gen64-costart-i2, 8, 12.633071, 160883
gen64-costart-i2, 8, 12.838772, 161227
gen64-costart-i2, 2, 80.965773, 317922
gen64-costart-i2, 4, 43.454581, 325753
gen32-costart-i2, 2, 142.16439, 555533
gen64-costart-i2, 8, 12.556694, 160127
gen32-costart-i2, 2, 179.567084, 689458
gen64-costart-i2, 4, 25.573726, 194889
gen64-costart-i2, 10, 11.552888, 165332
gen64-costart-i2, 6, 17.585009, 165956
gen32-costart-i2, 4, 47.499874, 356946
gen64-costart-i2, 6, 22.022155, 231085
gen32-costart-i2, 4, 45.024074, 215394
gen64-costart-i2, 2, 96.398674, 354858
gen64-costart-i2, 10, 16.162895, 197567
gen64-costart-i2, 2, 137.692569, 563087
gen64-costart-i2, 10, 15.91743, 213264
gen32-costart-i2, 2, 226.903447, 890165
gen32-costart-i2, 6, 21.506473, 218424
gen32-costart-i2, 8, 16.973123, 206644
gen64-costart-i2, 4, 36.864788, 263879
gen32-costart-i2, 10, 14.344223, 185456
gen64-costart-i2, 4, 43.985399, 317268
gen64-costart-i2, 6, 13.834209, 148644
gen64-costart-i2, 10, 7.518163, 89085
gen64-costart-i2, 4, 34.348792, 236086
gen32-costart-i2, 2, 127.526838, 514010
gen32-costart-i2, 6, 24.070564, 249687
gen32-costart-i2, 10, 18.454769, 238940
gen32-costart-i2, 6, 19.718644, 173610
gen32-costart-i2, 6, 16.082847, 150605
gen32-costart-i2, 4, 39.459447, 262789
gen32-costart-i2, 6, 33.05922, 317850
gen32-costart-i2, 10, 13.218811, 174478
gen32-costart-i2, 6, 25.265804, 263657
gen32-costart-i2, 4, 44.90927, 319068
gen64-costart-i2, 2, 161.415895, 582280
gen32-costart-i2, 8, 20.353211, 241291
gen32-costart-i2, 10, 16.092613, 210591
gen32-costart-i2, 10, 14.308572, 171233
gen32-costart-i2, 8, 13.100353, 159853
gen64-costart-i2, 2, 160.124362, 623312
gen64-costart-i2, 10, 16.492164, 219732
gen32-costart-i2, 4, 29.322189, 222903
gen64-costart-i2, 8, 17.454619, 221434
gen64-costart-i2, 4, 33.901534, 256249
gen64-costart-i2, 8, 13.487648, 160186
gen32-costart-i2, 2, 125.345726, 459689
gen32-costart-i2, 2, 145.6929, 411338
gen64-costart-i2, 4, 24.739391, 191293
gen32-costart-i2, 2, 133.900443, 525085
gen64-costart-i2, 8, 16.06557, 180705
gen64-costart-i2, 6, 13.189215, 138726
gen32-costart-i2, 10, 14.056943, 162241
gen32-costart-i2, 6, 20.867659, 186449
gen32-costart-i2, 2, 466.157548, 1220664
gen64-costart-i2, 2, 125.690359, 521719
gen32-costart-i2, 2, 241.358218, 966077
gen64-costart-i2, 6, 25.222801, 270656
gen64-costart-i2, 4, 15.947806, 122337
gen32-costart-i2, 8, 15.92695, 192275
gen64-costart-i2, 8, 16.011077, 182746
gen64-costart-i2, 2, 71.728944, 294241
