Type, Threads, Time, Evaluations
gen32-costart, 10, 12.622246, 154220
gen32-costart, 10, 16.399903, 185311
gen32-costart, 8, 13.989081, 171553
gen32-costart, 10, 10.699864, 139574
gen32-costart, 6, 19.200986, 182305
gen32-costart, 6, 13.758795, 133148
gen32-costart, 4, 38.026922, 215990
gen32-costart, 6, 14.728868, 143526
gen32-costart, 8, 13.231408, 152201
gen32-costart, 4, 63.067346, 364560
gen32-costart, 4, 55.506586, 423818
gen32-costart, 4, 27.29101, 192843
gen32-costart, 2, 189.826912, 726860
gen32-costart, 10, 13.669749, 199252
gen32-costart, 2, 219.037149, 866680
gen32-costart, 4, 34.113412, 223056
gen32-costart, 10, 12.232733, 163565
gen32-costart, 10, 17.399443, 213763
gen32-costart, 8, 10.514021, 131757
gen32-costart, 6, 20.132979, 193830
gen32-costart, 4, 46.679624, 276967
gen32-costart, 8, 12.029792, 163878
gen32-costart, 10, 13.396298, 175705
gen32-costart, 6, 22.275931, 229438
gen32-costart, 4, 32.489588, 249014
gen32-costart, 4, 53.025905, 278315
gen32-costart, 8, 18.623066, 232943
gen32-costart, 6, 17.211459, 191092
gen32-costart, 10, 13.810945, 181407
gen32-costart, 2, 77.22088, 311920
gen32-costart, 2, 417.344813, 1560333
gen32-costart, 8, 15.97843, 191283
gen32-costart, 2, 484.591373, 1729437
gen32-costart, 8, 11.968127, 159590
gen32-costart, 8, 14.96442, 183122
gen32-costart, 10, 12.286833, 159828
gen32-costart, 2, 75.932846, 296663
gen32-costart, 6, 20.43481, 195838
gen32-costart, 4, 24.159331, 168178
gen32-costart, 10, 12.088558, 169200
gen32-costart, 2, 128.041201, 531625
gen32-costart, 8, 12.140196, 158611
gen32-costart, 2, 112.223166, 465141
gen32-costart, 6, 30.251195, 290704
gen32-costart, 6, 29.510239, 255725
gen32-costart, 4, 46.373719, 348944
gen32-costart, 10, 11.44232, 139901
gen32-costart, 4, 22.768496, 167253
gen32-costart, 8, 14.210478, 162480
gen32-costart, 8, 14.721622, 166220
gen32-costart, 4, 23.516952, 130729
gen32-costart, 2, 100.917633, 363512
gen32-costart, 6, 18.084515, 190265
gen32-costart, 10, 14.763446, 172147
gen32-costart, 6, 23.747195, 224532
gen32-costart, 2, 164.573519, 651117
gen32-costart, 2, 429.190325, 1585416
gen32-costart, 6, 23.521912, 229599
gen32-costart, 8, 17.55133, 231712
gen32-costart, 10, 16.829275, 226578
gen32-costart, 4, 50.615219, 300621
gen32-costart, 4, 26.939643, 183198
gen32-costart, 8, 17.06527, 227536
gen32-costart, 6, 23.068432, 240274
gen32-costart, 10, 11.75971, 163797
gen32-costart, 4, 46.331516, 325819
gen32-costart, 6, 19.965802, 195769
gen32-costart, 2, 87.665505, 339558
gen32-costart, 2, 111.904196, 387781
gen32-costart, 6, 15.30202, 148448
gen32-costart, 2, 88.893406, 290108
gen32-costart, 2, 38.977031, 152619
