Type, Threads, Time, Evaluations
dis-v2, 4, 78.811463, 387096
vg, 4, 54.020301, 391540
vg, 2, 64.573781, 231889
dis-v2, 4, 42.058751, 229913
dis, 8, 23.016958, 237436
dis-v2, 4, 76.529768, 404210
dis-v2, 4, 64.093698, 326028
dis-v2, 8, 12.586779, 142148
dis, 2, 530.27537, 1699561
dis, 2, 194.750739, 709645
vg, 2, 192.14636, 748856
vg, 4, 25.374555, 175573
vg, 10, 15.93041, 164730
vg, 2, 107.26628, 381531
dis-v2, 6, 18.03848, 142661
dis-v2, 2, 776.904137, 2918510
dis-v2, 8, 17.012262, 156615
dis, 2, 378.172818, 1239394
dis-v2, 2, 455.514482, 1539061
dis, 2, 62.369136, 234996
vg, 6, 15.565728, 149624
dis-v2, 8, 11.726855, 122047
dis-v2, 2, 63.033803, 227041
vg, 8, 16.222481, 168125
dis, 2, 276.182506, 1058443
dis, 8, 17.11563, 175284
dis, 2, 184.239174, 719734
dis-v2, 4, 28.117344, 129931
dis-v2, 4, 88.320741, 479286
dis-v2, 2, 161.910917, 581394
dis, 6, 25.371634, 198515
vg, 6, 20.91159, 167221
dis, 2, 422.784826, 1591624
vg, 4, 62.755806, 428510
dis, 6, 25.536557, 188881
vg, 4, 48.893464, 261383
dis, 2, 215.476896, 840756
dis-v2, 8, 22.8053, 218054
vg, 8, 20.371987, 195024
dis-v2, 6, 37.675045, 280870
dis, 8, 17.302846, 164156
dis, 2, 567.024987, 2219258
dis, 4, 50.883328, 241389
dis, 8, 18.637062, 175749
dis, 4, 24.618761, 118664
dis, 8, 12.218421, 166487
vg, 6, 24.19403, 237471
vg, 8, 14.909687, 150921
dis-v2, 8, 10.62646, 127637
vg, 2, 222.034421, 769966
vg, 8, 14.245434, 144810
dis, 8, 13.315482, 139286
vg, 6, 30.453843, 250153
dis-v2, 6, 27.078453, 196080
dis-v2, 4, 31.973098, 172724
vg, 10, 11.684872, 134940
vg, 8, 17.970611, 185864
vg, 4, 49.443041, 270017
vg, 2, 684.005025, 2471722
vg, 2, 176.512834, 688857
dis, 4, 29.500239, 138078
dis-v2, 6, 22.520322, 170770
vg, 10, 11.292255, 116294
vg, 10, 17.616411, 181406
dis, 2, 62.12954, 200723
dis-v2, 2, 62.066605, 213910
dis-v2, 6, 22.848189, 178937
vg, 10, 14.400236, 155911
vg, 6, 25.621379, 245278
dis-v2, 8, 14.609643, 149979
dis-v2, 6, 24.029995, 171393
dis-v2, 4, 38.927223, 185481
vg, 8, 14.123952, 150910
dis-v2, 8, 24.95007, 238329
vg, 6, 35.756817, 288325
dis, 6, 32.277879, 238430
dis, 4, 27.224115, 135374
vg, 8, 15.507623, 170895
dis, 8, 24.439505, 251227
dis, 6, 44.317868, 334152
dis, 4, 49.734423, 251782
dis-v2, 6, 40.821031, 274643
vg, 8, 18.219474, 176060
vg, 4, 34.06797, 223785
dis-v2, 2, 451.806974, 1617824
vg, 2, 163.413351, 633296
dis, 6, 23.697665, 178501
dis-v2, 6, 21.253862, 154936
dis-v2, 8, 22.160201, 198928
vg, 10, 16.457196, 200406
vg, 4, 46.74158, 219023
vg, 10, 15.699816, 186459
dis, 6, 19.367801, 203216
vg, 6, 24.145381, 174968
vg, 2, 450.008439, 1471886
dis-v2, 4, 36.374744, 166990
dis-v2, 6, 22.952734, 168344
dis-v2, 8, 16.944887, 176284
vg, 8, 9.808165, 101774
dis, 6, 21.284682, 163599
dis-v2, 4, 40.327019, 287173
dis, 4, 28.650581, 141831
dis-v2, 4, 29.675714, 199193
dis, 6, 15.441121, 120095
dis, 4, 40.860554, 221755
vg, 4, 78.781769, 423534
vg, 8, 15.746254, 173590
vg, 6, 18.794412, 153040
dis, 6, 33.471505, 250358
dis-v2, 6, 23.647389, 170708
vg, 4, 40.366666, 220749
vg, 4, 57.514954, 308838
dis-v2, 2, 426.744847, 1516214
vg, 8, 19.604119, 185656
dis, 4, 24.795708, 126657
dis, 6, 30.569671, 225970
dis-v2, 8, 23.185617, 201687
vg, 10, 16.024216, 174807
dis, 6, 27.867856, 216640
dis, 4, 35.224962, 265763
vg, 4, 26.725949, 188232
vg, 6, 21.136885, 200608
vg, 10, 17.2037, 203766
dis-v2, 4, 205.275195, 947335
dis, 8, 17.36138, 163206
dis, 4, 62.162952, 332654
