Type, Threads, Time, Evaluations
gen32, 8, 19.098505, 189629
gen32, 2, 52.950626, 197671
gen32, 10, 14.073176, 151623
gen32, 10, 14.340726, 150306
gen32, 2, 164.606703, 597538
gen32, 6, 18.773158, 142041
gen32, 8, 20.503582, 183245
gen32, 10, 13.413684, 140908
gen32, 8, 13.398696, 153964
gen32, 2, 99.599487, 378765
gen32, 10, 16.504486, 188122
gen32, 2, 108.530728, 409941
gen32, 8, 15.088776, 151504
gen32, 6, 19.025842, 163263
gen32, 8, 9.616063, 87302
gen32, 10, 14.071675, 141725
gen32, 2, 51.288049, 197700
gen32, 8, 15.613037, 155745
gen32, 10, 15.240379, 149326
gen32, 10, 17.584986, 184143
gen32, 8, 13.138559, 129390
gen32, 10, 16.502522, 172092
gen32, 2, 125.116178, 476181
gen32, 10, 14.794659, 166489
gen32, 6, 26.640313, 224392
gen32, 2, 153.96616, 565181
gen32, 6, 16.307788, 112623
gen32, 4, 33.903519, 163435
gen32, 2, 129.015729, 460520
gen32, 8, 20.380288, 199234
gen32, 4, 85.025422, 396544
gen32, 10, 17.465831, 197031
gen32, 6, 28.816059, 198283
gen32, 8, 14.822944, 159588
gen32, 4, 24.290475, 115446
gen32, 10, 13.283096, 142577
gen32, 6, 19.073596, 136382
gen32, 2, 41.960745, 158238
gen32, 6, 28.626485, 231365
gen32, 2, 330.803046, 1259664
gen32, 4, 40.374196, 285907
gen32, 10, 17.490746, 196916
gen32, 8, 17.622973, 181125
gen32, 6, 16.112099, 122582
gen32, 8, 15.829536, 157692
gen32, 4, 52.77162, 250936
gen32, 4, 92.663664, 425898
gen32, 6, 20.925068, 185062
gen32, 6, 20.836134, 157760
gen32, 4, 55.671419, 261524
gen32, 4, 97.326135, 459505
gen32, 6, 28.948687, 199389
gen32, 2, 257.259171, 895150
gen32, 2, 207.346074, 791605
gen32, 2, 145.853928, 554455
gen32, 8, 27.364704, 266739
gen32, 4, 64.480128, 298950
gen32, 6, 10.932125, 83585
gen32, 2, 39.270828, 156771
gen32, 2, 88.456217, 296236
gen32, 4, 69.763376, 394460
gen32, 6, 14.374469, 134479
gen32, 6, 19.01733, 133244
gen32, 4, 39.438921, 186964
gen32, 8, 19.615505, 229932
gen32, 4, 41.993264, 202668
gen32, 4, 41.038667, 201192
gen32, 6, 39.46492, 281145
gen32, 4, 42.755052, 196667
